,Group,Argentina,Australia,Austria,Belgium,Brazil,Canada,Chile,Colombia,Costa Rica,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,India,Indonesia,Ireland,Israel,Italy,Japan,Korea,Latvia,Lithuania,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Slovak Republic,Slovenia,South Africa,Spain,Sweden,Switzerland,Turkey,United Kingdom,United States
Argentina,2,1,-0.13244013,-0.107486729,0.003810805,0.093142696,0.113715492,0.220439582,0.27269798,0.250391391,-0.081128449,-0.03610934,0.135834534,0.09419932,0.124550302,0.24443093,-0.217475605,-0.0325529,0.000828965,0.241666143,0.089224287,0.020049231,-0.057167011,0.241848166,0.077735121,-0.042816396,0.08347193,0.20493284,0.078244671,0.241089692,0.154121613,-0.210519307,0.089206451,0.28390753,0.116923461,0.084482947,0.106376715,0.08893743,-0.054802674,-0.012189153,0.261419905,0.096138048,-0.063187956,0.04580391
Australia,4,-0.13244013,1,0.336339511,0.305887446,0.159431198,0.333457062,0.092677653,0.20207,0.395148733,0.170521566,0.351118812,0.235850936,0.326288587,0.366179441,0.107592044,0.413284638,0.390930902,0.514428473,0.215977248,-0.011322978,0.284203927,0.377583342,0.227161934,0.248246158,0.193024892,0.223495482,0.089905444,0.339124009,0.010561495,0.307467418,0.518741591,0.178320084,0.232438156,0.365058823,0.159490859,0.208581257,0.123083577,0.401433226,0.260066504,0.332482816,0.29040293,0.295294348,0.340963598
Austria,3,-0.107486729,0.336339511,1,0.924617663,0.349321395,0.681239273,0.549667483,0.400776099,0.546268563,0.575052693,0.902649926,0.616062918,0.831639265,0.709827629,0.636945164,0.67859755,0.81467398,0.414156451,0.221234675,0.075046057,0.552669353,0.468684065,0.74048853,0.545158435,0.58539147,0.627211582,0.53231609,0.656234977,0.404566355,0.755715838,0.595629759,0.684594035,0.535669526,0.781268989,0.600584651,0.457401668,0.63685243,0.926290848,0.530816643,0.344782773,0.425016774,0.73841791,0.775445809
Belgium,3,0.003810805,0.305887446,0.924617663,1,0.376866242,0.675246246,0.529283579,0.406331323,0.430782848,0.594316195,0.911768005,0.562588842,0.829272755,0.810614309,0.680312213,0.617591331,0.804860312,0.425305382,0.205869223,0.092453792,0.61400457,0.592985522,0.790025229,0.584577397,0.665612026,0.572133015,0.527771948,0.679217046,0.468373212,0.813641322,0.556773399,0.708307068,0.52067451,0.805005545,0.605870416,0.515421128,0.642202924,0.917236159,0.493182663,0.381433489,0.424884217,0.736525765,0.768104499
Brazil,2,0.093142696,0.159431198,0.349321395,0.376866242,1,0.449071577,0.664841063,0.366401731,0.280281718,0.435306673,0.387716474,0.431770385,0.525024984,0.474452673,0.538010354,0.155447952,0.244204708,0.079762305,0.20888183,0.499238369,-0.125525031,0.464562282,0.438531779,0.614514644,0.579619976,0.410238704,0.533546341,0.331359979,0.410884335,0.534423755,0.48864313,0.599008869,0.424758584,0.308129897,0.584403672,0.478324881,0.64621907,0.226443517,0.328466358,0.578454829,0.553744489,0.235759085,0.356289136
Canada,1,0.113715492,0.333457062,0.681239273,0.675246246,0.449071577,1,0.57507023,0.645205448,0.646258562,0.48134638,0.74406318,0.666705761,0.82889272,0.803281939,0.755692915,0.278075839,0.656326233,0.508387012,0.395354796,0.1119359,0.537317408,0.648545501,0.713008855,0.604896838,0.498493349,0.624256229,0.563118516,0.766607362,0.64748966,0.854686366,0.613288622,0.69405333,0.472706156,0.748658114,0.46303623,0.43281937,0.633604553,0.650609957,0.510960869,0.492640758,0.490607827,0.660135061,0.879556928
Chile,2,0.220439582,0.092677653,0.549667483,0.529283579,0.664841063,0.57507023,1,0.700981184,0.465587218,0.686826234,0.622017142,0.799591535,0.71218833,0.615264134,0.789016152,0.058889337,0.363313012,0.278916676,0.331626717,0.55115056,0.250298978,0.512966123,0.71002529,0.681387285,0.508661746,0.797101739,0.728037834,0.53908818,0.700761368,0.658941397,0.423723414,0.705306619,0.697923084,0.482224178,0.715867299,0.568751735,0.785454579,0.510519237,0.64963705,0.551708086,0.716932634,0.492697821,0.607601246
Colombia,2,0.27269798,0.20207,0.400776099,0.406331323,0.366401731,0.645205448,0.700981184,1,0.63493647,0.614270878,0.57664423,0.650253986,0.668488415,0.596527941,0.74416173,-0.040357094,0.377087729,0.459141225,0.586260256,0.562570598,0.332077604,0.570826031,0.651926799,0.520544138,0.445767201,0.666883532,0.497973572,0.684946041,0.701434146,0.687766855,0.513990648,0.682402508,0.64488241,0.475481625,0.605970454,0.632596036,0.707609915,0.455675001,0.656820402,0.611639531,0.596451492,0.443302954,0.632612361
Costa Rica,2,0.250391391,0.395148733,0.546268563,0.430782848,0.280281718,0.646258562,0.465587218,0.63493647,1,0.313596274,0.553197127,0.600220601,0.620567051,0.448812368,0.530818766,0.267703396,0.544149031,0.607011649,0.329392479,0.022214244,0.266771991,0.326460651,0.489863937,0.466816839,0.18566846,0.608101886,0.465828276,0.557695399,0.520372644,0.549287602,0.395305446,0.419916008,0.441159705,0.533997776,0.48413362,0.287411188,0.466277862,0.534342407,0.339605787,0.351966082,0.430976113,0.369426846,0.66811567
Czech Republic,3,-0.081128449,0.170521566,0.575052693,0.594316195,0.435306673,0.48134638,0.686826234,0.614270878,0.313596274,1,0.65657848,0.614703056,0.601185321,0.565340934,0.730525911,0.210766171,0.509983731,0.476987266,0.035613161,0.436942481,0.35747577,0.537780325,0.666910539,0.703268754,0.513949238,0.696235185,0.56545282,0.613132847,0.549742207,0.574643298,0.513029078,0.623696727,0.437009804,0.503402407,0.749681877,0.492173274,0.696601657,0.615736297,0.691586864,0.352719782,0.620401656,0.595942786,0.647411405
